"Data","ID_Veiculo","KM Percorridos","ValorAbastecimento","ValorManutencao","CustoFixo","CustoTotal"
"1/1/2019","2025","412","R$ 1,153.39","R$ 461.98","R$ 2,954.75","R$ 4,570.12"
"1/1/2019","2035","307","R$ 51.04","R$ 20.44","R$ 133.74","R$ 205.23"
"1/1/2019","2045","674","R$ 1,155.30","R$ 420.30","R$ 3,319.58","R$ 4,895.18"
"1/1/2019","2055","470","R$ 264.10","R$ 104.29","R$ 796.08","R$ 1,164.48"
"1/1/2019","2065","616","R$ 1,264.32","R$ 442.10","R$ 3,113.49","R$ 4,819.90"
"1/1/2019","2075","845","R$ 2,650.34","R$ 1,218.57","R$ 9,876.45","R$ 13,745.36"
"1/1/2019","2085","634","R$ 217.56","R$ 75.31","R$ 728.53","R$ 1,021.40"
"1/1/2019","2095","423","R$ 578.70","R$ 189.46","R$ 1,861.22","R$ 2,629.38"
"1/1/2019","2105","384","R$ 2,555.38","R$ 1,057.67","R$ 5,573.55","R$ 9,186.60"
"1/1/2019","2115","553","R$ 250.85","R$ 102.38","R$ 704.99","R$ 1,058.22"
"1/1/2019","2125","550","R$ 415.09","R$ 192.57","R$ 1,292.37","R$ 1,900.03"
"1/1/2019","2135","151","R$ 249.40","R$ 120.42","R$ 935.35","R$ 1,305.18"
"1/1/2019","2145","500","R$ 429.45","R$ 154.71","R$ 958.92","R$ 1,543.07"
"1/1/2019","2155","929","R$ 13,321.33","R$ 5,136.60","R$ 33,436.17","R$ 51,894.10"
"1/1/2019","2165","456","R$ 457.97","R$ 182.57","R$ 970.66","R$ 1,611.19"
"1/1/2019","2175","505","R$ 547.94","R$ 197.39","R$ 1,963.88","R$ 2,709.21"
"1/1/2019","2185","647","R$ 567.66","R$ 225.22","R$ 1,344.45","R$ 2,137.34"
"1/1/2019","2195","615","R$ 501.53","R$ 207.58","R$ 1,141.99","R$ 1,851.10"
"1/1/2019","2205","175","R$ 36.18","R$ 14.84","R$ 102.30","R$ 153.32"
"1/1/2019","2215","406","R$ 603.36","R$ 233.76","R$ 1,476.45","R$ 2,313.58"
"1/1/2019","2225","605","R$ 838.65","R$ 373.61","R$ 1,946.68","R$ 3,158.94"
"1/1/2019","2235","463","R$ 346.01","R$ 129.00","R$ 1,153.60","R$ 1,628.60"
"1/1/2019","2245","1079","R$ 5,273.86","R$ 2,275.58","R$ 14,209.32","R$ 21,758.76"
"1/1/2019","2255","808","R$ 2,404.51","R$ 883.38","R$ 8,576.35","R$ 11,864.24"
"1/1/2019","2265","234","R$ 417.35","R$ 164.02","R$ 1,159.47","R$ 1,740.84"
"1/1/2019","2275","429","R$ 120.42","R$ 39.23","R$ 377.23","R$ 536.88"
"1/1/2019","2285","502","R$ 277.05","R$ 95.43","R$ 567.76","R$ 940.23"
"1/1/2019","2295","451","R$ 1,106.61","R$ 536.72","R$ 3,465.14","R$ 5,108.47"
"1/1/2019","2305","706","R$ 1,343.47","R$ 500.84","R$ 4,199.03","R$ 6,043.34"
"1/1/2019","2315","348","R$ 809.56","R$ 300.34","R$ 2,477.95","R$ 3,587.85"
"1/1/2019","2325","506","R$ 853.95","R$ 318.34","R$ 1,836.06","R$ 3,008.34"
"1/1/2019","2335","737","R$ 1,058.25","R$ 388.78","R$ 2,428.71","R$ 3,875.74"
"1/1/2019","2345","558","R$ 252.05","R$ 95.34","R$ 906.65","R$ 1,254.05"
"1/1/2019","2355","423","R$ 1,221.91","R$ 577.08","R$ 3,567.56","R$ 5,366.55"
"1/1/2019","2365","686","R$ 1,295.14","R$ 587.50","R$ 3,200.63","R$ 5,083.27"
"1/1/2019","2375","265","R$ 327.70","R$ 128.79","R$ 846.06","R$ 1,302.54"
"1/1/2019","2385","512","R$ 76.68","R$ 34.31","R$ 278.86","R$ 389.85"
"1/1/2019","2395","486","R$ 386.18","R$ 161.34","R$ 1,431.66","R$ 1,979.19"
"1/1/2019","2405","547","R$ 1,895.58","R$ 915.31","R$ 5,230.84","R$ 8,041.73"
"1/1/2019","2415","680","R$ 917.52","R$ 319.24","R$ 3,124.40","R$ 4,361.15"
"1/1/2019","2425","415","R$ 182.72","R$ 64.53","R$ 647.84","R$ 895.09"
"1/1/2019","2435","377","R$ 58.49","R$ 22.44","R$ 212.39","R$ 293.31"
"1/1/2019","2445","986","R$ 2,674.63","R$ 939.94","R$ 7,227.49","R$ 10,842.07"
